Date,Open,High,Low,Close,Adj Close,Volume
14-08-2023,612,612,594.5,607.349976,605.481506,14492164
16-08-2023,606.700012,621.349976,597.299988,618.75,616.846436,14562074
17-08-2023,620,622,611,613.75,611.861816,12119293
18-08-2023,612.799988,620.099976,610.900024,615.799988,613.905518,11190760
21-08-2023,617,623.299988,614.799988,620.5,618.591064,9580365
22-08-2023,621.799988,626.5,618.599976,620.200012,618.291992,8534395
23-08-2023,622.75,622.75,613.150024,613.900024,612.011414,8248333
24-08-2023,618,619,609.650024,610.950012,609.070435,7096025
25-08-2023,610.849976,616.700012,593.299988,605.099976,603.238403,16075509
28-08-2023,605.400024,608.5,601.549988,602.400024,600.546753,7479254
29-08-2023,603.599976,610.5,603.599976,607.150024,605.282166,6956667
30-08-2023,611.200012,612.900024,605,605.549988,603.687073,5676055
31-08-2023,608.799988,609.650024,599.049988,601,599.151062,10544271
01-09-2023,604.200012,614.900024,601.900024,611.200012,609.319702,10297492
04-09-2023,615.599976,615.599976,606,609,607.126465,8392665
05-09-2023,610,618.900024,608.049988,611.150024,609.269836,8560651
06-09-2023,611.150024,612.549988,605.599976,610.25,608.37262,6520064
07-09-2023,610.900024,616.5,609.049988,614.900024,613.008301,6520293
08-09-2023,617.950012,628.900024,614.200012,627.25,625.320313,16190749
11-09-2023,634.650024,635.400024,630.5,634.849976,632.896912,8780510
12-09-2023,638,639,615.25,620.799988,618.890137,12541377
13-09-2023,621,628.5,619.549988,625.900024,623.974487,6988358
14-09-2023,628.099976,630.799988,623.299988,624.599976,622.678406,5722295
15-09-2023,628.700012,636.5,627.150024,634.25,632.298767,18917805
18-09-2023,635.900024,644.200012,633.150024,640.650024,638.679077,11108349
20-09-2023,640.700012,647,637,638.5,636.535706,11777925
21-09-2023,638.5,641.700012,624,627.049988,625.120911,9266854
22-09-2023,628,630.799988,619,620.450012,618.54126,6551917
25-09-2023,623.849976,625.200012,617.900024,618.700012,616.796631,6390681
26-09-2023,618.700012,625.700012,617.950012,619.799988,617.893188,6271108
27-09-2023,619.950012,621.900024,616.75,620.150024,618.242188,5960490
28-09-2023,622.900024,623.799988,612.25,614.099976,612.210754,6768196
29-09-2023,618.700012,633,617,630.200012,628.26123,8969405
03-10-2023,632.599976,632.650024,618.599976,620.450012,618.54126,6894577
04-10-2023,620.799988,620.799988,608.299988,613.599976,611.71228,7612709
05-10-2023,619,621.349976,614.650024,619.599976,617.693787,7893892
06-10-2023,627,627.349976,620,622.450012,620.535095,7922379
09-10-2023,620.799988,622,613.700012,617.349976,615.450745,6381189
10-10-2023,620,632.5,617.599976,630.549988,628.610168,9833429
11-10-2023,633,637.799988,632.599976,634,632.049561,7701931
12-10-2023,637,640.200012,635.049988,636.950012,634.990479,5928732
13-10-2023,633.950012,669,633,667.099976,665.047668,28011678
16-10-2023,668.549988,677.799988,661.25,666.200012,664.150513,20005816
17-10-2023,670,670.900024,654.650024,655.700012,653.6828,10263992
18-10-2023,658.599976,672.25,653.799988,668.5,666.44342,14908778
19-10-2023,662.950012,672.299988,658.599976,668.799988,666.742493,10633043
20-10-2023,666.650024,676.400024,660.5,663.200012,661.159729,11759568
23-10-2023,663.650024,667.25,645,647.349976,645.358459,8564004
25-10-2023,650,651.900024,636.049988,637.849976,635.887695,8229559
26-10-2023,635,635.650024,624.150024,626.549988,624.622437,8889373
27-10-2023,630,643.950012,628.450012,641.049988,639.07782,10232856
30-10-2023,643.799988,643.799988,621.849976,628.5,626.566467,12786883
31-10-2023,642,642,627.299988,628.650024,626.716003,11395766
01-11-2023,630,633.799988,626.299988,627.700012,625.768921,8785264
02-11-2023,632,638.200012,630.099976,636.450012,634.492004,9934305
03-11-2023,662,666,646.200012,647.5,645.507996,23087856
06-11-2023,652.849976,652.849976,643.200012,646.049988,644.062439,10801301
07-11-2023,645,649.900024,643.299988,645,643.015686,6588073
08-11-2023,648,649.049988,641.900024,642.549988,640.573242,6551864
09-11-2023,644,653.650024,642.700012,649.349976,647.352295,10155047
10-11-2023,649.349976,652.950012,644,651.049988,649.047058,6425792
13-11-2023,653,654,649.299988,653.25,651.240295,3279829
15-11-2023,660,673.5,656.549988,671.549988,669.484009,11324434
16-11-2023,674,685.5,670.900024,680.400024,678.306824,17501373
17-11-2023,682.5,687.650024,679.599976,681.549988,679.453247,9563220
20-11-2023,682,686.75,670.700012,674.299988,672.225525,8324354
21-11-2023,677,683.299988,675,681.700012,679.602783,7291057
22-11-2023,683.950012,687.349976,676.049988,681.200012,679.10437,9279642
23-11-2023,683.200012,685.900024,677.049988,679.950012,677.858215,5885370
24-11-2023,681.400024,681.950012,671.25,673.700012,671.627441,6951690
28-11-2023,677.450012,699.450012,674.25,697.5,695.354187,16015860
29-11-2023,702.75,714.400024,694.349976,712.349976,710.158508,16122864
30-11-2023,716.299988,717.25,697,706.400024,704.226807,24275245
01-12-2023,708,711,703,705.450012,703.279724,10565415
04-12-2023,716,717,704.799988,705.599976,703.42926,9348036
05-12-2023,705.900024,714.900024,705,708.950012,706.768982,9601509
06-12-2023,709.049988,724.799988,709,722.450012,720.227417,12148825
07-12-2023,725,727.5,716,721.950012,719.729004,10451801
08-12-2023,722.049988,727.599976,707.5,714.549988,712.351746,8557203
11-12-2023,717.799988,726.5,716.549988,720.799988,718.58252,6403209
12-12-2023,724.799988,724.799988,713,715.400024,713.199158,6461539
13-12-2023,716,721.450012,713.5,720.299988,718.084045,5807736
14-12-2023,724,724.700012,718.599976,719.75,717.535767,6732352
15-12-2023,723.900024,734,721.25,732.400024,730.146851,12082079
18-12-2023,732.900024,734.75,728.099976,730.799988,728.551758,5450397
19-12-2023,732.599976,732.599976,726,728.950012,726.707458,4511101
20-12-2023,730.950012,733,703.049988,705.25,703.080322,8107602
21-12-2023,703,711.900024,696.25,708.849976,706.66925,7702232
22-12-2023,716.799988,731,712,724.700012,722.47052,12062238
26-12-2023,727.400024,727.5,716.599976,719.549988,717.336365,7229143
27-12-2023,728,741.849976,725.150024,740.900024,738.620667,15052800
28-12-2023,742.650024,757.950012,739.049988,753.900024,751.580688,14906199
29-12-2023,755,802.900024,754,779.950012,777.550537,41170191
01-01-2024,785,798.700012,781.049988,790.599976,788.167725,12570717
02-01-2024,800.5,804,779,784.400024,781.986877,13791090
03-01-2024,786.049988,790,776.25,781.450012,779.045959,8559060
04-01-2024,798,801.799988,791.299988,795.75,793.301941,14298444
05-01-2024,799,805.900024,787.099976,790.950012,788.516724,11091198
08-01-2024,798.400024,800.349976,787.5,789.099976,786.672363,7668471
09-01-2024,799.950012,809.200012,793.150024,799.799988,797.339478,12872757
10-01-2024,800,811,792.650024,808.450012,805.962891,9980044
11-01-2024,813.5,817.5,808.450012,815.650024,813.140747,11075167
12-01-2024,818.150024,818.549988,809.150024,816.450012,813.938232,7664094
15-01-2024,820,820.400024,810.299988,812.450012,809.950562,4835856
16-01-2024,812.450012,827,812.450012,818.849976,816.330811,10159066
17-01-2024,811,813.700012,804,805.549988,803.071777,7895439
18-01-2024,807,822.950012,797,819.049988,816.530212,11500495
19-01-2024,823.849976,826,819.5,823.549988,821.016418,5706888
23-01-2024,824.900024,827.599976,796.299988,800.450012,797.987488,9436209
24-01-2024,802.400024,812,788.5,810.900024,808.405334,7217542
25-01-2024,814,814.150024,800.299988,811.849976,809.352356,10109720
29-01-2024,811.849976,843.799988,811.049988,841,838.41272,12823686
30-01-2024,843,885.950012,842.849976,858.849976,856.207764,19734613
31-01-2024,865.200012,896.5,865.200012,884.200012,881.479858,24562392
01-02-2024,900,900.150024,876.299988,878.5,875.797363,14505885
02-02-2024,886,895.75,876.849976,878.75,876.04657,13003437
05-02-2024,934,950,915.349976,926.799988,923.94873,38686871
06-02-2024,936.400024,941.299988,928.400024,939.549988,936.659546,12714803
07-02-2024,944,944,928.049988,933.799988,930.927185,7913010
08-02-2024,937,939.700012,918.799988,924.299988,921.456421,11576253
09-02-2024,926,927.400024,906.049988,915,912.185059,7904881
12-02-2024,916.099976,925,908,911.599976,908.795471,7286778
13-02-2024,911.599976,919.099976,894,906.900024,904.109985,8574218
14-02-2024,900,919.950012,894.349976,918.299988,915.474915,6570939
15-02-2024,923.700012,927,916.349976,920.549988,917.717957,6430799
16-02-2024,925,948.799988,924.099976,938.599976,935.712463,12826164
19-02-2024,942.950012,942.950012,931.049988,932.599976,929.730896,4632214
